物料代號,供應商簡稱,品名規格,單價,幣別,單位,預設收貨廠區
07S-MSAU300-0.65K,欣德,MSAU300封裝模維修模號頂針,650,TWD,SET,新信路生產基地
07S-MSAU300-0.8K,欣德,MSAU300封裝模頂針板支撐塊,800,TWD,SET,新信路生產基地
07S-MSAU300-1.5K,欣德,MSAU300封裝模導柱及襯套,1500,TWD,SET,新信路生產基地
07S-MSAU300-2.0-0.25K,欣德,MSAU300封裝模維修2.0下模頂料針,250,TWD,SET,新信路生產基地
07S-MSAU300-3.0-0.25K,欣德,MSAU300封裝模維修3.0下模頂料針,250,TWD,SET,新信路生產基地
07S-MSAU300-3.5K,欣德,MSAU300封裝模維修隔熱板,3500,TWD,SET,新信路生產基地
07S-MSAU300-DOWN-4.5K,欣德,MSAU300封裝模下承板,4500,TWD,SET,新信路生產基地
07S-MSAU300-LCF-C-3K,欣德,MSAU300自動焊接治具修改,3000,TWD,SET,新信路生產基地
07S-MSAU300-LCP-3.6K,欣德,MSAU300自動焊接治具-壓板維修,3600,TWD,SET,新信路生產基地
07S-MSAU300-Renovation-5K,欣德,MSAU300封裝模整修,5000,TWD,SET,新信路生產基地
07S-MSAU300-SPRING,欣德,MSAU300封裝模維修下模彈簧,120,TWD,SET,新信路生產基地
07S-MSAU300-UP-4.5K,欣德,MSAU300封裝模頂銷蓋板,4500,TWD,SET,新信路生產基地
07S-MSAU300C1-12K,欣德,MSAU300切桿模具壓料板維修,12000,TWD,PCS,新信路生產基地
07S-MSAU400S-3.2K,欣德,MSAU400S封裝模進料筒(材質SKD11),3200,TWD,PCS,新信路生產基地
07S-MSAU400S-DOWN-4.5K,欣德,MSAU400S封裝模下承板(材質 420J2),4500,TWD,PCS,新信路生產基地
07S-MSAU400S-Renovation-5K,欣德,MSAU400S 封裝模整修,5000,TWD,SET,新信路生產基地
07S-MSAU400S-UP-4.5K,欣德,MSAU400S封裝模頂銷蓋板(材質 420J2),4500,TWD,PCS,新信路生產基地
07S-MSDWI03-DS_0.8K,欣德,MSDWI03自動浸錫治具修改,800,TWD,SET,新信路生產基地
07S-MSLU100-LCF-0.3K,欣德,MSLU100自動焊接治具底座維修,300,TWD,SET,新信路生產基地
07S-MSLUAQ2-ASM-0.9K,欣德,MSLU100-AQ2自動焊接治具修改,900,TWD,SET,新信路生產基地
07S-MSPU01H-MP-0.7K,欣德,MSPU01H割板治具(修改),700,TWD,SET,新信路生產基地
07S-MSPU01H-MP-PIN-0.7K,欣德,MSPU01H割板治具(增長PIN柱),700,TWD,SET,新信路生產基地
07S-MTQZ50-75-BASE-CP-1.6K,欣德,MTQZ50-75 BASE塗佈治具修改,1600,TWD,SET,新信路生產基地
07S-MTQZ_MRZI100/I150-ACF-1.5K,欣德,MTQZ( MRZI )100/I150主副板接腳治具修改,1500,TWD,SET,新信路生產基地
07S-P-pliers grinding,欣德,夾子研磨,350,TWD,PCS,中華西路總部
07S-PREHEAT-1.2K,欣德,預熱盤維修,1200,TWD,SET,新信路生產基地
07S-RE-ACF10-MP-0.6K,欣德,ACF-10割板治具修改,600,TWD,PCS,中華西路總部
07S-RE-ADF-07-SMB-0.8K,欣德,ADF-07副板壓條,800,TWD,SET,中華西路總部
07S-RE-ADF-07-SMB-1.2K,欣德,ADF-07副板壓條,1200,TWD,SET,新信路生產基地
07S-RE-ADF-07-SMP-0.2K,欣德,ADF-07副板割板治具,200,TWD,SET,中華西路總部
07S-RE-ADF-07-SMP-0.4K,欣德,ADF-07副板割板治具,400,TWD,SET,新信路生產基地
07S-RE-AJM24-MP-0.9K,欣德,AJM24割板治具修改,900,TWD,SET,新信路生產基地
07S-RE-AMF60-PCB-SF-3K,欣德,AMF-60成品切腳治具修改,3000,TWD,PCS,中華西路總部
07S-RE-AYM60-MP-1.5K,欣德,AYM60主板割板治具修改,1500,TWD,PCS,中華西路總部
07S-RE-AZF-60-SMP-0.4K,欣德,AZF-60電壓控制副板割板治具,400,TWD,SET,新信路生產基地
07S-RE-AZF60-SMB-1.2K,欣德,AZF-60電壓控制副板壓條,1200,TWD,SET,新信路生產基地
07S-RE-IDS100-MP-1.8K,欣德,IDS100割板治具修改,1800,TWD,SET,中華西路總部
07S-RE-MAW01-CF-1.2K,欣德,MAW01接腳治具修改,1200,TWD,SET,中華西路總部
07S-RE-MCWI04-CF-0.6K,欣德,MCWI04接腳治具修改,600,TWD,PCS,中華西路總部
07S-RE-MDHU100-ASM-SEAT-0.15K,欣德,MDHU100自動焊接治具-子座修改,150,TWD,PCS,中華西路總部
07S-RE-MEW1000-MP-1,欣德,MEW1000主板割板修改,200,TWD,PCS,中華西路總部
07S-RE-MIW03M_06M-SB-0.6K,欣德,MIW03M_06M副板壓條-修改,600,TWD,SET,中華西路總部
07S-RE-MIW03M_06M-SMP-0.6K,欣德,MIW03M_06M副板割板治具-修改,600,TWD,SET,中華西路總部
07S-RE-MKWI40-NEW-MB-0.7K,欣德,MKWI40新款壓條修改,700,TWD,PCS,中華西路總部
07S-RE-MRZI150-24V-CF-0.35K,欣德,MRZI150電感接腳治具修改-上蓋,350,TWD,SET,中華西路總部
07S-RE-MSAU300-UP-Renovation-8K,欣德,MSAU300封裝模上模整修,8000,TWD,PCS,中華西路總部
07S-RE-MSAU400S-UP-Renovation-8K,欣德,MSAU400S 封裝模上模整修,8000,TWD,SET,新信路生產基地
07S-RE-MSDWI03-DS-0.5K,欣德,MSDWI03自動浸焊治具修改,500,TWD,PCS,中華西路總部
07S-RE-MSKW1000-MP-3.2K,欣德,MSKW1000割板治具修改,3200,TWD,PCS,中華西路總部
07S-RE-MSKW2000-MP-0.6K,欣德,MSKW2000割板治具修改,600,TWD,SET,中華西路總部
07S-RE-MSKW2000-MP-1,欣德,MSKW2000割板治具修改,1800,TWD,PCS,中華西路總部
07S-RE-MSLU300-ASM-0.6K,欣德,MSLU300自動焊接治具-新增磁鐵修改,600,TWD,SET,中華西路總部
07S-RE-tin stove,欣德,跳線機小錫爐治具修改,1500,TWD,SET,新信路生產基地
07S-THERMOSTAT-0.8K,欣德,預熱盤控制箱加工,800,TWD,PCS,新信路生產基地
07S-VICTOR-8X4X4,欣德,尖嘴鉗加工8X4X4,250,TWD,PCS,新信路生產基地
07S-Winding fixed shaft,欣德,CNC繞線固定軸,450,TWD,PCS,新信路生產基地
07S-cutting machine-16.5K,欣德,切腳機外觀整修,16500,TWD,SET,新信路生產基地
ME4-01-02-SCREW,欣德,螺絲座,200,TWD,PCS,新信路生產基地
T083-CMA-1S,欣德,081-CMA-1S(架模費),3000,TWD,SET,新信路生產基地
T083-CMC-3,欣德,081-CMC-3(架模費),3000,TWD,SET,新信路生產基地
07-0204,順德,"1-1/4""圓夾單片",0.6667,TWD,PCS,新信路生產基地
07-F009C001-1,堃銘,0.6小夾子安裝白鐵栓費用,3,TWD,SET,新信路生產基地
07-F009C002-1,堃銘,0.8大夾子安裝白鐵栓費用,3,TWD,SET,新信路生產基地
07-F009C002-2,堃銘,0.8大夾子安裝彈簧+白鐵栓費用,4.8,TWD,PCS,新信路生產基地
07-3AXIS-GLUE-SW-FIX,金展,點膠機開關固定板金(3AXIS-GLUE-SW-FIX),260,TWD,PCS,新信路生產基地
07-40x250-FIX,金展,固定鈑金40*250,200,TWD,PCS,新信路生產基地
07-8760-DRAW-FIX-P-1,金展,8760抽料管架安裝板,1020,TWD,PCS,新信路生產基地
07-8760-DRAW-FIX-P-2,金展,8760抽料管架安裝板2,380,TWD,PCS,新信路生產基地
07-8760-DRAW-SHELF,金展,8760抽料管架,420,TWD,PCS,新信路生產基地
07-A-BURN-IN-SUB,金展,Burn-In台車控制板支架,480,TWD,SET,新信路生產基地
07-CCS-3000L-PBF,金展,固定噴印機檔板,800,TWD,PCS,新信路生產基地
07-CCS-3000L-PBS,金展,固定噴印機底座,880,TWD,PCS,新信路生產基地
07-CCS-3000L-THB,金展,雲台固定底座,800,TWD,PCS,新信路生產基地
07-CNC-WIND-DRIVE-INSTALL-SM,金展,皮帶傳動板固定板金,320,TWD,PCS,新信路生產基地
07-CNC-WIND-V1-T0.5-SM,金展,CNC加工件墊片V1-T0.5,160,TWD,PCS,新信路生產基地
07-CNC-WIND-V1-T1-SM,金展,CNC加工件墊片V1-T1,160,TWD,PCS,新信路生產基地
07-CNC-WIND-V2-T0.5-SM,金展,CNC加工件墊片V2-T0.5,160,TWD,PCS,新信路生產基地
07-CNC-WIND-V2-T1-SM,金展,CNC加工件墊片V2-T1,160,TWD,PCS,新信路生產基地
07-E-WIND-GEAR-SHELL-SM-1,金展,齒輪外殼板金(E-WIND-GEAR-SHELL-SM-1),340,TWD,PCS,新信路生產基地
07-E-WIND-GEAR-SHELL-SM-2,金展,齒輪外殼板金2(-E-WIND-GEAR-SHELL-SM-2),340,TWD,PCS,新信路生產基地
07-E-WIND-TAPE-SM-FIX,金展,膠帶台固定鈑金(E-WIND-TAPE-SM-FIX),200,TWD,PCS,新信路生產基地
07-EHFDSF-EHFL,金展,抽風罩固定座,1570,TWD,PCS,新信路生產基地
07-EX-BOARD,金展,吸風罩延伸板,250,TWD,PCS,新信路生產基地
07-GANTRY ARM-EDGE-CASE-SM,金展,板邊收集盒(SUS304),470,TWD,PCS,新信路生產基地
07-GANTRY ARM-EDGE-T-SM,金展,板邊收集板金蓋(SUS304),570,TWD,PCS,新信路生產基地
07-GANTRY ARM-L-SM,金展,L墊片,150,TWD,PCS,新信路生產基地
07-GANTRY ARM-PC-COVER-SM,金展,機櫃箱-主機護蓋,450,TWD,PCS,新信路生產基地
07-GANTRY ARM-X-CHAIN-SM-FIX,金展,X軸鍊條固定鈑金(SUS304),220,TWD,PCS,新信路生產基地
07-GANTRY ARM-Y-S-SM-FIX,金展,Y軸側蓋固定鈑金(SUS304),200,TWD,PCS,新信路生產基地
07-GANTRY ARM-Z-CHAIN-SM-FIX-1,金展,Z軸鍊條固定鈑金(SUS304),240,TWD,PCS,新信路生產基地
07-GANTRY ARM-Z-CHAIN-SM-FIX-2,金展,Z軸鍊條固定鈑金2(SUS304),210,TWD,PCS,新信路生產基地
07-GANTRY ARM-Z-SENSOR-FIX-SM,金展,Z軸近接開關固定板金,170,TWD,SET,新信路生產基地
07-GANTRY ARM-Z-SENSOR-TRIGGER-SM,金展,Z軸近接開關觸發板金,180,TWD,SET,新信路生產基地
07-IL-100-FIX,金展,IL-100固定鈑金(SPCC),280,TWD,PCS,新信路生產基地
07-J-CAB-HS60-FIX,金展,CAB-HS標籤機固定架,3000,TWD,PCS,新信路生產基地
07-J-DPM-DA530-30PCS,金展,DPM-DA530墊高鈑金V2,530,TWD,PCS,中華西路總部
07-J-SF-1-SP-SMT-T-SM-V1,金展,智能工廠_SMT站_轉接板金,680,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP1-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金1,230,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP2-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金2,720,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP3-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金3,280,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP4-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金4,390,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP5-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金5,240,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AC-CFP6-SM-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動蓋板機構_鍊條固定板金6,270,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-AS-MFP-V1,金展,在線式自動化前製程整合V2_自動焊接站_自動焊接機組_機台固定板,250,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-SDCH-PWP-SM,金展,在線式自動化前製程整合V2_自動焊接站_設備機箱_動力盤,800,TWD,PCS,中華西路總部
07-J-SPAS-2-SP-SOLDER-SDCH-SCCH,金展,在線式自動化前製程整合V2_自動焊接站_設備機箱_觸控螢幕電箱,2340,TWD,PCS,中華西路總部
07-J-SPAS-2-TP-TEST-SLIDE-CFP1-SM,金展,在線式自動化前製程整合V2_自動測試工作站_滑台_鍊條板金,630,TWD,PCS,中華西路總部
07-J-SPAS-2-TP-TEST-SLIDE-CFP2-SM,金展,在線式自動化前製程整合V2_自動測試工作站_滑台_鍊條板金2,270,TWD,PCS,中華西路總部
07-J-YAMAHA-1-V2-TP-ARM-AIRFCV2-SM-V1,金展,YAMAHA-1_V2_氣管美觀外罩2,440,TWD,PCS,中華西路總部
07-J-YAMAHA-1-V2-TP-ARM-AIRFCV6-SM-V1,金展,YAMAHA-1_V2_氣管美觀外罩6,420,TWD,PCS,中華西路總部
07-J-YAMAHA-1-V2-TP-ARM-AIRFCV7-SM-V1,金展,YAMAHA-1_V2_氣管美觀外罩7,330,TWD,PCS,中華西路總部
07-J-YAMAHA-1-V2-TP-ARM-AIRFCV8-SM-V1,金展,YAMAHA-1_V2_氣管美觀外罩8,510,TWD,PCS,中華西路總部
07-LASER-B-SM,金展,雷射測距底座板金(材質:SPHC),280,TWD,PCS,新信路生產基地
07-LASER-GLUE-CONTROL BOX-B-SM,金展,雷射動態補膠電箱底殼板金,2800,TWD,SET,新信路生產基地
07-LASER-GLUE-CONTROL BOX-EXP-FIX-SM,金展,擴充板固定條,330,TWD,SET,新信路生產基地
07-LASER-GLUE-CONTROL BOX-EXP-SM,金展,擴充板,1120,TWD,SET,新信路生產基地
07-LASER-GLUE-CONTROL BOX-T-SM,金展,雷射動態補膠電箱上蓋板金,3210,TWD,SET,新信路生產基地
07-LASER-L-SM,金展,雷射測距L板金(材質:SPHC),240,TWD,PCS,新信路生產基地
07-LED-SHEET METAL-1,金展,LED固定鈑金1,210,TWD,PCS,新信路生產基地
07-LED-SHEET METAL-2,金展,LED固定鈑金2,210,TWD,PCS,新信路生產基地
07-LIGHT SOURCE-FIX-SM,金展,腳位辨識光源固定鈑金,300,TWD,SET,新信路生產基地
07-MKW10M-TAPE-M,金展,MKW10M鐵心包膠帶治具 中層(材質:SUS304),430,TWD,SET,新信路生產基地
07-MPW1000-B-SM,金展,底部板金盒(07-MPW1000-B-SM),700,TWD,SET,新信路生產基地
07-OVEN-RADIATOR-SHEET-METAL,金展,烤箱散熱板金(材質:SPHC),1250,TWD,SET,新信路生產基地
07-PCB PI_Cutting-M,金展,切割機160X400X118mm-計數器治具(含運費),400,TWD,SET,新信路生產基地
07-PROCOVER-FIX-SM,金展,防護蓋固定板金,260,TWD,PCS,新信路生產基地
07-RT-500VP-LSK,金展,RT-500VP二極體成型機左檔板,170,TWD,SET,新信路生產基地
07-RT-500VP-RSK,金展,RT-500VP二極體成型機右檔板,170,TWD,SET,新信路生產基地
07-TAM-PS-FIX SEAT,金展,帶裝機壓力感測器固定座,370,TWD,SET,新信路生產基地
07-TAPE-MAC-2-PROCOVER,金展,包膠帶機2防護蓋,440,TWD,PCS,新信路生產基地
07-TAPE-ME-SW-FIX,金展,安全開關固定板金(TAPE-ME-SW-FIX),180,TWD,PCS,新信路生產基地
07-TERMINAL-BOTTOM-SM,金展,終端機箱(07-TERMINAL-BOTTOM-SM),1800,TWD,PCS,新信路生產基地
07-TERMINAL-COVER-SM,金展,終端機箱上蓋(07-TERMINAL-COVER-SM),660,TWD,SET,新信路生產基地
07-TERMINAL-DPM-DA530-SM,金展,DPM-DA530墊高板金(07-TERMINAL-DPM-DA530-SM,350,TWD,SET,新信路生產基地
07-TERMINAL-SIDE-COVER-SM,金展,終端機箱側蓋(07-TERMINAL-SIDE-COVER-SM),310,TWD,PCS,新信路生產基地
07-THR AXIS-GRAT-FIX-PLATE,金展,三軸出膠機光柵固定板,370,TWD,SET,新信路生產基地
07-VALVE-FIX-SM,金展,調壓閥固定板金(SUS304),190,TWD,PCS,新信路生產基地
07-VSCR,金展,凡立水含浸容器,980,TWD,SET,新信路生產基地
07-WINDING-CCD-POS-P,金展,定位板,530,TWD,SET,新信路生產基地
07-WM-PLUS-COUNT-SM,金展,繞線機PLUS-計數器板金(07-WM-PLUS-COUNT-SM),280,TWD,SET,新信路生產基地
07-WM-PLUS-COUNT-SM -2.0,金展,繞線機PLUS-編碼器固定板金2.0(07-WM-PLUS-COUNT-SM,370,TWD,SET,新信路生產基地
07-WM-PLUS-COUNT-SM -3.0,金展,繞線機PLUS-編碼器固定板金3.0,790,TWD,SET,新信路生產基地
07-WM-PLUS-COUNT-SM -3.0-100pcs,金展,繞線機PLUS-編碼器固定板金3.0 (100pcs),650,TWD,PCS,新信路生產基地
07-WM-PLUS-TETHER-SM,金展,繞線機PLUS-繫線板金(07-WM-PLUS-TETHER-SM),160,TWD,SET,新信路生產基地
07-WM-PLUS-TETHER-SM-2.0,金展,繞線機PLUS-繫線板金2.0(07-WM-PLUS-TETHER-SM-2,290,TWD,SET,新信路生產基地
07-WM-PLUS-TRIPOD,金展,繞線機PLUS-底部支撐條(07-WM-PLUS-TRIPOD),330,TWD,SET,新信路生產基地
07-YAMAHA-1-V2-CCD-LIGHT-FIX-SM,金展,YAMAHA-1_V2_光源固定板金(07-YAMAHA-1-V2-CCD-,470,TWD,PCS,新信路生產基地
07-YAMAHA-1-V2-NG-H-SM,金展,YAMAHA-1_V2_ NG汽缸墊高板金(07-YAMAHA-1-V2-N,320,TWD,PCS,新信路生產基地
07-YAMAHA-1-V2-NG-P-SM,金展,YAMAHA-1_V2_ NG推板(07-YAMAHA-1-V2-NG-P-,190,TWD,PCS,新信路生產基地
07-YAMAHA-1-V2-TUBE-CYL-SM,金展,YAMAHA-1_V2_裝管機構汽缸墊高板金(07-YAMAHA-1-V2-,490,TWD,PCS,新信路生產基地
07-YAMAHA-1_V2_-LED-FIX-SM-1,金展,YAMAHA-1_V2_ LED燈條固定板金1(07-YAMAHA-1_V2,240,TWD,PCS,新信路生產基地
07-YAMAHA-1_V2_-LED-FIX-SM-2,金展,YAMAHA-1_V2_ LED燈條固定板金2(07-YAMAHA-1_V2,320,TWD,PCS,新信路生產基地
07-YAMAHA-3-MIW-TUBE-TUNE-SM,金展,MIW裝管治具長度微調板金,150,TWD,PCS,新信路生產基地
07-YAMAHA-4-DRAWER,金展,工業電腦放置板金,830,TWD,SET,新信路生產基地
07-YAMAHA-SF-SW,金展,安全門近接開關板金,100,TWD,PCS,新信路生產基地
07-YAMAHA-SP304-FSN41NFIXED,金展,FS-N41-43固定座板金,150,TWD,PCS,新信路生產基地
07S-1095-FREIGHT,金展,運費(金展),300,TWD,SET,新信路生產基地
07S-RE-CAB-HS60-FIX-0.35K,金展,CAB-HS標籤機固定架修改,350,TWD,SET,中華西路總部
07-E-WIRE-W38-000023-450CM,致茂,電子負載Sensor線450cm長(紅黑一組含頭),2175,TWD,SET,新信路生產基地
A636000,致茂,A636000(GPIB Interface for Model 63600,5670,TWD,SET,新信路生產基地
INS-62024,致茂,62024P 100V-50A-2400W,107000,TWD,SET,新信路生產基地
INS-63600-1,致茂,63600-1Mainframe for Single Load Modul,11400,TWD,SET,新信路生產基地
INS-63600-2,致茂,63600-2(Mainframe for 2 Load Modules),28500,TWD,SET,新信路生產基地
INS-63600-5,致茂,63600-5 Mainframe for 5 Modules,39700,TWD,SET,新信路生產基地
INS-6363-80-60,致茂,63630-80-60(60A/80V/300W),42600,TWD,SET,新信路生產基地
INS-63630-80-60,致茂,63630-80-60(60A/80V/300W),45950,TWD,SET,新信路生產基地
INS-63640-80-80,致茂,63640-80-80電子負載機,51680,TWD,SET,新信路生產基地
INS-A620004,致茂,A620004 GPIB,14200,TWD,SET,新信路生產基地
07-330G-BUCKETS,駱泰,330G卡式膠筒,2800,TWD,PCS,新信路生產基地
07-330G-JIG,駱泰,330G側電木膠筒固定快拆治具,7000,TWD,SET,新信路生產基地
07-7511-0140-40,駱泰,7511-0140-40 噴嘴 (0.4mm噴嘴),14500,TWD,PCS,新信路生產基地
07-7511-9120,駱泰,7511-9120 流體歧管(含加熱),32000,TWD,PCS,新信路生產基地
07-7511-9160-NOZZLEBUSHING,駱泰,(7511-9160) NOZZLE BUSHING，SS,6500,TWD,PCS,新信路生產基地
07-7EOK-TSD931-57,駱泰,轉接頭(7EOK-TSD931-57),210,TWD,PCS,新信路生產基地
07-9800-CLEANKIT-40,駱泰,9800-CLEANKIT-40 清潔包,11000,TWD,PCS,新信路生產基地
07-9800-SEALKIT,駱泰,9800-SEALKIT 密封圈維修包 (5 pcs),15000,TWD,PCS,新信路生產基地
07-9800-USEALKIT,駱泰,9800-USEALKIT 白色軸封(5PCS/包),15000,TWD,SET,新信路生產基地
07-A0100493,駱泰,TS5540-046 扇型噴嘴蓋(OK-A0100493),11500,TWD,PCS,新信路生產基地
07-A08PSW-PS3110911R,駱泰,數字鍵,150,TWD,SET,新信路生產基地
07-A09WP-0603-2-W18,駱泰,數字鍵線,100,TWD,SET,新信路生產基地
07-EQ-Plastic-LTE-300H-Teaching Box,駱泰,T-003-A點膠機教導盒,16000,TWD,PCS,新信路生產基地
07-EQ-TranF-OK_TS9800,駱泰,OK-TS9800-TT15-H 壓電閥(不含Table),420000,TWD,SET,新信路生產基地
07-LB-2272-50G,駱泰,LB-2272-50G 固定劑,450,TWD,PCS,新信路生產基地
07-LB-7649-50ML,駱泰,LB-7649-50ML催化劑,450,TWD,PCS,新信路生產基地
07-LTE-LT-300H,駱泰,LTE-LT-300H 三軸自動點膠機,143000,TWD,SET,新信路生產基地
07-OK-7511-9140-15,駱泰,TS9800-1.5mm撞針(OK-7511-9140-15),18000,TWD,SET,新信路生產基地
07-OK-TS500R,駱泰,OK-TS500R點膠控制器,63000,TWD,PCS,新信路生產基地
07-OK-TS5322,駱泰,OK-TS5322 迷你軸桿閥,45000,TWD,PCS,新信路生產基地
07-OK-TS9800,駱泰,OK-TS9800 壓電式噴射閥(含專用控制器、加熱/冷卻系統),330000,TWD,SET,新信路生產基地
07-OK-TS9800-EC-BOX,駱泰,壓電式噴射閥專用電控箱(電磁閥模組供氣壓輸出),20000,TWD,SET,新信路生產基地
07-OK-TSD1400-014A,駱泰,O型環(OK-TSD1400-014A),30,TWD,PCS,新信路生產基地
07-OK-TSD1400-495BP,駱泰,TS5540-046_O型環-黑色(OK-TSD1400-495BP),230,TWD,PCS,新信路生產基地
07-OK-TSD1597-13,駱泰,六角板手(RTV出膠閥OUT LET SCREW專用),110,TWD,PCS,新信路生產基地
07-OK-TSD400-71,駱泰,軸封(OK-TSD400-71),1200,TWD,PCS,新信路生產基地
07-SILICONE-ADAPTER,駱泰,美規矽利康轉接頭,400,TWD,PCS,新信路生產基地
07-T1000570,駱泰,TS5540-014 噴嘴(OK-T1000570),7000,TWD,PCS,新信路生產基地
07-T1000584,駱泰,TS5540-046 噴嘴(OK-T1000584 ),7000,TWD,PCS,新信路生產基地
07-T1000590,駱泰,TS5540-014 圓形噴嘴蓋(OK-T1000590),5150,TWD,PCS,新信路生產基地
07-TSD-1103-349,駱泰,OUT LET SCREW(RTV出膠閥)(10PCS/包),100,TWD,BOX,新信路生產基地
07S-OK-7511-0470,駱泰,TS9800壓電閥噴嘴調整螺母,5800,TWD,SET,新信路生產基地
07S-OK-9800-SEALKIT,駱泰,新版-撞針密封圈(5PCS/包),13000,TWD,SET,新信路生產基地
07-16P-Test Sub_V1,全葳,16P測試子座(與14P共用),233.16,TWD,PCS,新信路生產基地
07-24P-Test Sub_V1,全葳,24P測試子座,220,TWD,PCS,新信路生產基地
07-AMF-15-Test sub-block,全葳,AMF-15測試子座,600,TWD,SET,新信路生產基地
07-AMF-series-testPCB,全葳,AMF-series-testPCB,356,TWD,PCS,新信路生產基地
07-ATE-Mother-Board-V2,全葳,驗證型ATE-Mother-Board-V2,399.52,TWD,SET,新信路生產基地
07-BURN-IN_E_AD2DBB_V2.0,全葳,BURN-IN母板_V2.0(330mm×450mm),1400,TWD,PCS,新信路生產基地
07-COIL-WINDING-V1.0,全葳,20230515-COIL-WINDING,50.48,TWD,PCS,新信路生產基地
07-CONS-MIW10 Burn-in-PCB,全葳,MIW10/10M Burn-in PCB,144.56,TWD,PCS,新信路生產基地
07-CONS-POWER-AREA-CONTROLLER-V1,全葳,電源訊號啟動板,148.15,TWD,PCS,新信路生產基地
07-CONSTANT-CURRENT-LED,全葳,CONSTANT-CURRENT-LED(恆流源),9.25,TWD,PCS,新信路生產基地
07-Cap-Plate_V1,全葳,測試母座-電容板_V1,130,TWD,SET,新信路生產基地
07-E-AD2DBB-V15,全葳,燒機母板V1.5,1141.67,TWD,SET,新信路生產基地
07-E-PCB-Burn in test board,全葳,BURN-IN-TEST-BOARD,1005.55,TWD,PCS,中華西路總部
07-E-PCB-HP-TR-BOARD-V0-0,全葳,HP-TR-BOARD-V0,116.64,TWD,PCS,中華西路總部
07-E-PCB-MAU100&3M-1,全葳,MAU100,210.36,TWD,PCS,中華西路總部
07-E-PCB-MAU200-400&3M-1,全葳,MAU200-400,210.36,TWD,PCS,中華西路總部
07-E-PCB-MCW16P&3M-1,全葳,16P-3M-MCW-1-V1,320,TWD,PCS,中華西路總部
07-E-PCB-MDW16P&3M-1,全葳,16P-3M-MDW-1-V1,320,TWD,PCS,中華西路總部
07-E-PCB-MIW&3M-1,全葳,MIW雙接點&3M座共用子座MIW-3M,360,TWD,PCS,中華西路總部
07-E-PCB-MIW-1,全葳,MIW,251.16,TWD,PCS,中華西路總部
07-E-PCB-MIW1100&3M-1,全葳,MIW1100-3M,300,TWD,PCS,中華西路總部
07-E-PCB-MJW-6PCS+HIPOT-1,全葳,MJW-HIPOT,2450,TWD,PCS,中華西路總部
07-E-PCB-MJW-D-SUB,全葳,MJW-D-SUB,364.86,TWD,SET,中華西路總部
07-E-PCB-MJW-DualV3,全葳,MJW-DUAL-V3,356.67,TWD,PCS,中華西路總部
07-E-PCB-MJW-SingleV3,全葳,MJW-SINGLE-V3,356.67,TWD,PCS,中華西路總部
07-E-PCB-MJW-V2-Dual,全葳,MJW-V2-Dual,266.67,TWD,PCS,中華西路總部
07-E-PCB-MJW-V2-Single,全葳,MJW-V2-Single,266.67,TWD,PCS,中華西路總部
07-E-PCB-MKW-D-SUB,全葳,MKW-D-SUB,364.86,TWD,SET,中華西路總部
07-E-PCB-MKW-V2-Dual,全葳,MKW-V2-Dual,266.67,TWD,PCS,中華西路總部
07-E-PCB-MKW-V2-Single,全葳,MKW-V2-Single,266.67,TWD,PCS,中華西路總部
07-E-PCB-MRZI150-24Vin-1,全葳,MRZI150-24VIN,490,TWD,PCS,中華西路總部
07-EL revision(Beta)_V0,全葳,Electronic load revision(Beta)_V0 電子負載,668.5,TWD,SET,新信路生產基地
07-EL_BACK PANEL,全葳,EL_BACK PANEL(後板),140,TWD,PCS,新信路生產基地
07-EL_FRONT PANEL,全葳,EL_front panel V1(前板),180,TWD,PCS,新信路生產基地
07-EL_master_BoardV211,全葳,MASTER-BOARDV211(電子負載(主板)),576,TWD,SET,新信路生產基地
07-EL_slaver_BoardV29b,全葳,SLAVER-BOARDV29B(電子負載(副板)),357.5,TWD,SET,新信路生產基地
07-Goldfinger-12P,全葳,金手指[Goldfinger]-12P(化金板)-10pcs/PNL,400,TWD,SET,新信路生產基地
07-High power test socket_V0,全葳,台達ATE大功率測試子座_V0,364.25,TWD,SET,新信路生產基地
07-LM5021-TEST,全葳,LM5021-灌注膠測試 10pcs/PNL,386.67,TWD,SET,新信路生產基地
